RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,zip,date,rent_price,year,month,quarter,year_month,rent_ma_3m,rent_ma_6m,rent_ma_12m,rent_std_3m,rent_std_12m,rent_lag_1m,rent_lag_3m,rent_lag_6m,rent_lag_12m,rent_pct_change_1m,rent_pct_change_3m,rent_pct_change_6m,rent_pct_change_12m,rent_momentum_3m,rent_momentum_6m,rent_momentum_12m,rent_acceleration,rent_yoy,month_sin,month_cos,time_index,rent_vs_12m_avg,rent_vs_12m_min,rent_vs_12m_max,avg_gentrification_score,std_gentrification_score,total_gentrification_score,business_count,gentrified_business_count,gentrification_rate,avg_indicator_count,high_price_business_count,trendy_category_business_count,high_engagement_business_count,avg_rating,std_rating,median_rating,avg_review_count,total_reviews,median_review_count,high_price_business_pct,gentrification_intensity,business_quality_index,premium_business_density,lagged_rent_gentrification_interaction,lagged_rent_gentrification_score_interaction,momentum_gentrification_interaction,target
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2018-12-31,2714.7259699611,2018,12,4,2018-12,2714.7259699611,2714.7259699611,2714.7259699611,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,0,1.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2718.4097723624423
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-01-31,2718.4097723624423,2019,1,1,2019-01,2716.567871161771,2716.567871161771,2716.567871161771,2.6048416585404217,2.6048416585404217,2714.7259699611,,,,0.0013569702585469745,,,,,,,,,0.49999999999999994,0.8660254037844387,1,1.0006780250993264,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2753.802104474615
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-02-28,2753.802104474615,2019,2,1,2019-02,2728.9792822660525,2728.9792822660525,2728.9792822660525,21.575958306213618,21.575958306213618,2718.4097723624423,,,,0.013019498558311637,,,,,,,0.011662528299764663,,0.8660254037844386,0.5000000000000001,2,1.009096009768147,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.5943586152093
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-03-31,2770.5943586152093,2019,3,1,2019-03,2747.602078484089,2739.3830513533417,2739.3830513533417,26.639031557200465,27.263558634940733,2753.802104474615,2714.7259699611,,,0.006097843455529661,0.020579752532042805,,,55.86838865410937,,,-0.006921655102781976,,1.0,6.123233995736766e-17,3,1.0113935534668832,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.0522414006077
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-05-31,2835.0522414006077,2019,5,2,2019-05,2786.482901496811,2758.516889362795,2758.516889362795,42.89208008244058,48.86711580337666,2770.5943586152093,2718.4097723624423,,,0.02326500181629454,0.04290834671948551,,,116.64246903816547,,,0.017167158360764878,,0.49999999999999994,-0.8660254037844387,4,1.0277451090957401,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2871.2203928706977
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-06-30,2871.2203928706977,2019,6,2,2019-06,2825.6223309621714,2777.300806614112,2777.300806614112,50.971483210265085,63.46187272196181,2835.0522414006077,2753.802104474615,,,0.012757490300151053,0.04263860798322838,,,117.41828839608252,,,-0.010507511516143486,,1.2246467991473532e-16,-1.0,5,1.0338168577321252,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.479780104558
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-07-31,2894.479780104558,2019,7,3,2019-07,2866.917471458621,2807.259774971355,2794.04065996989,29.94652631961121,72.92278958203713,2871.2203928706977,2770.5943586152093,2714.7259699611,,0.008100871424434608,0.04471438451613263,0.06621434801614012,,123.88542148934857,179.75381014345794,,-0.004656618875716445,,-0.4999999999999998,-0.8660254037844388,6,1.035947622943952,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.136610302034
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-08-31,2863.136610302034,2019,8,3,2019-08,2876.2789277590964,2831.380914627954,2802.677653761408,16.27237397340112,71.79720299050729,2894.479780104558,2835.0522414006077,2718.4097723624423,,-0.010828602092149198,0.009906120420395403,0.05323952238952434,,28.084368901426387,144.72683793959186,,-0.018929473516583806,,-0.8660254037844384,-0.5000000000000004,7,1.021571855207639,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2830.3229548077866
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-09-30,2830.3229548077866,2019,9,3,2019-09,2862.6464484047933,2844.1343896834824,2805.749353877672,32.081221174608906,67.7893917736464,2863.136610302034,2871.2203928706977,2753.802104474615,,-0.011460736933116888,-0.014243921561876705,0.02778734543373096,,-40.89743806291108,76.52085033317144,,-0.0006321348409676908,,-1.0,-1.8369701987210297e-16,8,1.0087583022682167,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821.574427595899
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-10-31,2821.574427595899,2019,10,4,2019-10,2838.3446642352396,2852.631067846931,2807.331861249495,21.911518076765258,64.10807087228733,2830.3229548077866,2894.479780104558,2770.5943586152093,,-0.0030909996320478417,-0.025187722163332982,0.018400408858902928,,-72.90535250865878,50.98006898068979,,0.008369737301069047,,-0.8660254037844386,0.5000000000000001,9,1.0050733461700767,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2822.279124096578
97498,3975,94002,zip,CA,CA,Belmont,"San Francisco-Oakland-Berkeley, CA",San Mateo County,94002,2019-11-30,2822.279124096578,2019,11,4,2019-11,2824.7255021667547,2850.502214962926,2808.6907033265024,4.860324715594039,60.98500836732173,2821.574427595899,2863.136610302034,2835.0522414006077,,0.0002497529371499052,-0.014270183985788276,-0.0045054257263772435,,-40.8574862054561,-12.77311730402971,,0.003340752569197747,,-0.5000000000000004,0.8660254037844384,10,1.004837991151529,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2857.6172254286535
